,sFIPS,wf,cost,bass
928,20061,0,0,0
929,20063,0,0,0
930,20065,0,0,0
931,20067,0,0,0
932,20069,0,0,0
933,20071,0,0,0
934,20073,0,0,0
935,20075,0,0,0
936,20077,0,0,0
937,20079,0,0,0
938,20081,0,0,0
939,20083,0,0,0
940,20085,0,0,0
941,20087,0,0,0
942,20089,0,0,0
943,20091,1,1,1
944,20093,0,0,0
945,20095,0,0,0
946,20097,0,0,0
947,20099,0,0,0
948,20101,0,0,0
949,20103,0,0,0
950,20105,0,0,0
951,20107,0,0,0
952,20109,0,0,0
953,20111,0,0,0
954,20113,0,0,0
955,20115,0,0,0
956,20117,0,0,0
957,20119,0,0,0
958,20121,0,0,0
959,20123,0,0,0
960,20125,0,0,0
961,20127,0,0,0
962,20129,0,0,0
963,20131,0,0,0
964,20133,0,0,0
965,20135,0,0,0
966,20137,0,0,0
967,20139,0,0,0
968,20141,0,0,0
969,20143,0,0,0
970,20145,0,0,0
971,20147,0,0,0
972,20149,0,0,0
973,20151,0,0,0
974,20153,0,0,0
975,20155,0,0,0
976,20157,0,0,0
977,20159,0,0,0
978,20161,0,0,0
979,20163,0,0,0
980,20165,0,0,0
981,20167,0,0,0
982,20169,0,0,0
983,20171,0,0,0
984,20173,1,1,1
985,20175,0,0,0
986,20177,0,0,0
987,20179,0,0,0
988,20181,0,0,0
989,20183,0,0,0
990,20185,0,0,0
991,20187,0,0,0
992,20189,0,0,0
993,20191,0,0,0
994,20193,0,0,0
995,20195,0,0,0
996,20197,0,0,0
997,20199,0,0,0
998,20201,0,0,0
999,20203,0,0,0
1000,20205,0,0,0
1001,20207,0,0,0
1002,20209,0,0,1
1003,21001,0,0,0
1004,21003,0,0,0
1005,21005,0,0,0
1006,21007,0,0,0
1007,21009,0,0,0
1008,21011,0,0,0
1009,21013,0,0,0
1010,21015,0,0,0
1011,21017,0,0,0
1012,21019,0,0,0
1013,21021,0,0,0
1014,21023,0,0,0
1015,21025,0,0,0
1016,21027,0,0,0
1017,21029,0,0,0
1018,21031,0,0,0
1019,21033,0,0,0
1020,21035,0,0,0
1021,21037,0,0,0
1022,21039,0,0,0
1023,21041,0,0,0
1024,21043,0,0,0
1025,21045,0,0,0
1026,21047,0,0,0
1027,21049,0,0,0
1028,21051,0,0,0
1029,21053,0,0,0
1030,21055,0,0,0
1031,21057,0,0,0
1032,21059,0,0,0
1033,21061,0,0,0
1034,21063,0,0,0
1035,21065,0,0,0
1036,21067,1,1,1
1037,21069,0,0,0
1038,21071,0,0,0
1039,21073,0,0,0
1040,21075,0,0,0
1041,21077,0,0,0
1042,21079,0,0,0
1043,21081,0,0,0
1044,21083,0,0,0
1045,21085,0,0,0
1046,21087,0,0,0
1047,21089,0,0,0
1048,21091,0,0,0
1049,21093,0,0,0
1050,21095,0,0,0
1051,21097,0,0,0
1052,21099,0,0,0
1053,21101,0,0,0
1054,21103,0,0,0
1055,21105,0,0,0
1056,21107,0,0,0
1057,21109,0,0,0
1058,21111,1,1,0
1059,21113,0,0,0
1060,21115,0,0,0
1061,21117,0,1,0
1062,21119,0,0,0
1063,21121,0,0,0
1064,21123,0,0,0
1065,21125,0,0,0
1066,21127,0,0,0
1067,21129,0,0,0
1068,21131,0,0,0
1069,21133,0,0,0
1070,21135,0,0,0
1071,21137,0,0,0
1072,21139,0,0,0
1073,21141,0,0,0
1074,21143,0,0,0
1075,21145,0,0,0
1076,21147,0,0,0
1077,21149,0,0,0
1078,21151,0,0,0
1079,21153,0,0,0
1080,21155,0,0,0
1081,21157,0,0,0
1082,21159,0,0,0
1083,21161,0,0,0
1084,21163,0,0,0
1085,21165,0,0,0
1086,21167,0,0,0
1087,21169,0,0,0
1088,21171,0,0,0
1089,21173,0,0,0
1090,21175,0,0,0
1091,21177,0,0,0
1092,21179,0,0,0
1093,21181,0,0,0
1094,21183,0,0,0
1095,21185,0,1,1
1096,21187,0,0,0
1097,21189,0,0,0
1098,21191,0,0,0
1099,21193,0,0,0
1100,21195,0,0,0
1101,21197,0,0,0
1102,21199,0,0,0
1103,21201,0,0,0
1104,21203,0,0,0
1105,21205,0,0,0
1106,21207,0,0,0
1107,21209,0,0,0
1108,21211,0,0,0
1109,21213,0,0,0
1110,21215,0,0,0
1111,21217,0,0,0
1112,21219,0,0,0
1113,21221,0,0,0
1114,21223,0,0,0
1115,21225,0,0,0
1116,21227,0,0,1
1117,21229,0,0,0
1118,21231,0,0,0
1119,21233,0,0,0
1120,21235,0,0,0
1121,21237,0,0,0
1122,21239,0,0,0
1123,22001,0,0,0
1124,22003,0,0,0
1125,22005,0,0,1
1126,22007,0,0,0
1127,22009,0,0,0
1128,22011,0,0,0
1129,22013,0,0,0
1130,22015,0,0,1
